#{"t_start": 1765858255.9665444, "env_id": "highway-ME-basic-v0"}
r,l,t
9.901714,10,376.718044
4.729327,5,376.996488
3.270194,3,377.164982
41.996435,40,379.207798
9.897136,9,379.677397
11.870262,11,380.244584
9.725519,9,380.716452
5.66926,5,380.976194
10.32409,10,381.497129
18.722651,16,382.335745
7.326007,7,382.705358
43.997625,40,384.735332
8.498081,7,385.098664
4.099066,4,385.315218
8.700794,8,385.724488
3.269501,3,385.896372
7.468268,6,386.225541
12.868027,10,386.738181
8.469234,7,387.093856
33.694152,32,388.710057
6.268744,5,388.960448
8.728991,9,389.422966
7.100337,6,389.728477
18.527072,17,390.604257
24.467335,21,391.723071
7.268971,6,392.049683
18.673655,18,392.96536
5.497199,5,393.2309
8.867006,8,393.646358
3.900457,4,393.866113
2.9,3,394.023973
4.273663,4,394.230888
8.697265,8,394.647603
30.721653,26,396.00916
3.727542,4,396.21734
7.468962,6,396.53203
4.301106,4,396.738881
5.530265,6,397.066187
5.471797,5,397.319666
27.297086,24,398.539987
43.099157,40,400.623548
16.702534,14,401.356493
12.299139,12,401.97063
12.066402,10,402.500921
10.472742,10,403.008458
21.066625,20,404.068653
4.1,4,404.281773
8.298286,7,404.64557
2.899067,3,404.803673
3.269501,3,404.986201
14.672731,14,405.723585
3.298595,3,405.876858
16.868273,13,406.554673
7.269677,6,406.88471
13.268368,12,407.519094
20.421859,18,408.47259
9.096199,8,408.896998
9.468105,8,409.323931
10.669745,9,409.787848
3.270194,3,409.947587
10.298615,10,410.463178
6.497265,6,410.787263
23.093145,22,411.925143
34.623134,31,413.563469
14.426768,12,414.178868
6.902597,7,414.561377
16.272296,15,415.370407
16.501203,15,416.132802
17.268254,13,416.814042
9.423652,9,417.274001
3.272729,3,417.433629
9.498036,8,417.856978
5.470254,5,418.114215
6.468962,5,418.399691
31.86731,25,419.691549
45.863251,38,421.671238
6.068971,5,421.928114
26.094456,23,423.13576
8.067717,7,423.493091
31.328518,30,425.004588
5.668567,5,425.259417
33.096147,31,426.841221
4.099066,4,427.043273
8.072729,7,427.408083
18.272843,17,428.283543
24.098179,21,429.365215
10.274119,9,429.819103
5.627471,5,430.078089
9.267648,8,430.482595
7.870989,7,430.866815
26.868269,25,432.210551
12.469516,11,432.803033
12.69835,10,433.335028
8.469736,7,433.71483
10.699142,9,434.183321
13.330322,13,434.868114
6.728534,7,435.235863
9.868735,8,435.65831
7.698135,7,436.016943
19.299069,19,436.999908
18.296772,17,437.862603
6.498133,6,438.181219
7.903994,8,438.597946
8.266649,7,438.959965
9.267544,7,439.335262
8.502533,8,439.758923
11.896005,11,440.31484
8.668043,7,440.671871
9.102655,9,441.148813
10.296532,9,441.623841
6.127938,6,441.934881
4.1,4,442.137999
8.094273,7,442.525561
15.892787,13,443.20691
9.92899,10,443.717154
6.068984,5,443.973799
34.700011,30,445.576029
10.468069,9,446.051438
27.498148,26,447.378549
8.428588,7,447.733346
21.299027,18,448.658002
10.096016,9,449.144063
2.899067,3,449.305617
6.929861,7,449.665266
8.703983,9,450.13406
12.869677,10,450.656748
4.669044,4,450.878968
45.191606,40,452.926632
12.668233,10,453.43498
16.723642,14,454.187245
5.90305,6,454.493895
3.668359,3,454.648053
19.899611,20,455.69242
19.069127,17,456.589512
16.527545,16,457.398843
4.501251,4,457.60656
4.669738,4,457.812588
3.427473,3,457.993897
42.796817,40,460.030031
3.300556,3,460.184816
6.867698,6,460.48849
6.101653,6,460.818896
26.667943,24,462.054398
3.226418,3,462.208301
7.329806,7,462.569376
34.067126,31,464.188886
17.072445,15,464.942097
16.327066,16,465.799914
5.66926,5,466.052214
4.428566,4,466.275448
13.668567,12,466.88455
31.664954,26,468.221652
10.896717,10,468.733455
7.096015,6,469.063829
5.868568,5,469.332751
7.069237,6,469.640908
28.267459,25,470.929891
6.272842,6,471.247069
20.664234,17,472.126065
2.9,3,472.280416
17.492743,15,473.081332
7.869125,7,473.460331
11.294366,9,473.926767
5.868098,5,474.18451
7.268744,6,474.492474
30.493577,29,476.008042
8.828972,7,476.373603
8.499074,8,476.786956
18.096177,15,477.563563
11.301613,11,478.141211
3.925402,4,478.346641
5.470989,5,478.603908
9.426944,9,479.072768
9.467425,8,479.504131
18.500277,18,480.435301
22.622079,21,481.533845
16.867402,14,482.258679
10.468273,8,482.686583
43.624682,40,484.737499
2.899066,3,484.895731
3.270194,3,485.050703
11.894042,11,485.629969
6.068257,5,485.885658
14.896464,13,486.53804
17.695954,17,487.408366
