episode_id,seed,success,episode_length,episode_reward,basic_reward,mean_speed,mean_lane,total_norm_cost
44,86,1,40,18.75,42.42933078588891,21.51750720482703,0.9375,2.5
45,87,1,40,18.5,45.40211040837545,23.375494468881122,0.925,3.0
46,88,1,40,20.0,46.22939818995179,23.89337386871988,1.0,0.0
47,89,1,40,18.75,45.997722735037776,23.748576709398613,0.9375,2.5
48,90,1,40,20.0,41.8293983296366,21.143373956022877,1.0,0.0
49,91,1,40,20.0,41.8303317535545,21.143957345971565,1.0,0.0
50,92,1,40,20.0,40.62547147706649,20.390919673166557,1.0,0.0
51,93,1,40,20.0,40.6303317535545,20.393957345971565,1.0,0.0
52,94,1,40,19.0,41.426131964508464,20.889786105524834,0.95,2.0
53,95,1,40,20.0,47.02939832967996,24.393373956049963,1.0,0.0
54,96,1,40,20.0,45.23033069244795,23.26895668277996,1.0,0.0
55,97,1,40,18.25,41.42735743868273,20.891273862852703,0.9125,3.5
56,98,1,40,18.0,45.82890413179329,23.642243780769984,0.9,4.0
57,99,1,40,19.75,44.6303317535545,22.893136044370745,0.9875,0.5
58,100,1,40,19.75,42.22852795318257,21.3928299707391,0.9875,0.5
59,101,1,40,18.5,42.22844526156225,21.392778288476404,0.925,3.0
60,102,1,40,19.75,41.2293983296861,20.766827583756974,0.9875,0.5
61,103,1,40,20.0,42.82939766774183,21.768373542338637,1.0,0.0
62,104,1,40,19.0,41.62962286705017,21.01769299033119,0.95,2.0
63,105,1,40,19.75,46.42839893025604,24.017749331410023,0.9875,0.5
64,106,1,40,18.5,41.62803021312493,21.016697581602266,0.925,3.0
65,107,1,40,17.0,42.82889626553869,21.767235629559664,0.85,6.0
66,108,1,40,19.25,43.59888606771216,22.2493037923201,0.9625,1.5
67,109,1,40,20.0,46.42932906506969,24.018330665668547,1.0,0.0
68,110,1,40,19.0,45.42710427707399,23.39039380109975,0.95,2.0
69,111,1,40,20.0,41.82932840312473,21.143330251952953,1.0,0.0
70,112,1,40,19.75,41.42839910880867,20.892749443005417,0.9875,0.5
71,113,1,40,19.75,42.8283984050733,21.767749003170813,0.9875,0.5
72,114,1,40,15.5,43.42910123603349,22.14268800928215,0.775,9.0
73,115,1,40,19.75,40.22939651470176,20.142551520087782,0.9875,0.5
74,116,1,40,19.75,45.428399108860894,23.392749443038056,0.9875,0.5
75,117,1,40,19.75,40.82839717378939,20.51774823361837,0.9875,0.5
76,118,1,40,19.0,43.82962361693208,22.393514760582548,0.95,2.0
77,119,1,40,20.0,40.22939651470176,20.1433728216886,1.0,0.0
